Rank,Track,Album Name,Artist,Release Date,Release Year,ISRC,Release Country,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Lyrics
12,Perfect,ÃÂÃÂ±ÃÂÃÂ± (Deluxe),Ed Sheeran,03.03.2017,2017,GBAHS1700024,GB,81,"167,5",2969999682,280165,116921604,81.0,6473698897.0,39632673.0,6642975.0,601244764.0,7647479866.0,1708317539.0,208.0,263386.0,129.0,343.0,1242581.0,102.0,617483078.0,595052.0,,,0,hope whispered love dreams looks future song odds knew heart share beautiful person eyes follow girl breath secrets right sweet give dive said stronger baby i'll angel anyone underneath saw mm mess 'cause heard well slow we'll kids see home fightin' alright dress man still grass mine someday arms woman looked hold know fell favourite children tonight barefoot lead waitin' faith dark listenin' lookin' oh kiss time perfect look darlin' met shares knowin' deserve hand someone holdin' carry found dancin' we're never
13,rockstar,rockstar,Post Malone,15.09.2017,2017,USUM71710087,US,231,"101,8",2960046642,352745,82442565,77.0,2391850868.0,23334015.0,196242.0,40652322.0,456931528.0,370252952.0,235.0,149051.0,393.0,122.0,715708.0,47.0,608645169.0,632152.0,,19166675.0,1,call used racks ta askin' a prolly act liquor hot ain't bra hit thing grab pop smash livin' cars groupie feel cop cocaine startin' drankin' tryna girlfriend hoes superstars yeah la whip tv show sayin' give pants 'member ÃÂ¡no smoke peace door window twelve tart done sweeter outta scott block safe old pool actin' jumpin' fuckin' trailer pourin' damn 'son brought pillies whole back rest bad hahahahaha leave poppin' i've big homies table mÃÂ¡s fool pullin' green pull man always close black tank hundred car got shottas stage dude rasta threw garage feelin' bitches get gas know blowin' shit cakin' star snack rockstar god pocket ask like coke hundreds wifey came pow light ayy morrison made lookin' smokin' kiss friend bon montage henny switch hills grra tracks 'tas uzi brothers screamin' popstar 'sta hard band go savage fire chart 21 trap say make legendary six
14,Sweater Weather,I'm Sorry...,The Neighbourhood,01.01.2012,2012,USSM11300080,US,809,"53,9",2916412507,41565,149359220,85.0,1648485745.0,18338729.0,1248637.0,324536571.0,2911383718.0,71486828.0,189.0,61334.0,39.0,114.0,604895.0,9.0,384534750.0,719472.0,2565635.0,,0,take head hands toes shirt gravity's finger there's one silence love sand start move want goosebumps let breath warm waisted yeah taste woah meets knows wanna pour left i'll raise tell sleeves place inside beach comin' high touch little everyone 'cause tongue world find put sweater blouse man let's shorts hearts guides stand face mind waist hold adore holes hardest outside adventure hate minute may cold sometimes neck california two nothin' nothing oh house away starts beats think far use us hand clouds much watch say centered mouths
15,Closer,Closer,The Chainsmokers,29.07.2016,2016,USQX91601347,US,173,"114,6",2880536961,285381,129399627,80.0,4086121880.0,22091228.0,1103074.0,100536756.0,514053404.0,467800052.0,385.0,316965.0,467.0,284.0,83857.0,78.0,819509308.0,739296.0,,16185008.0,0,call hope stop ain't moved stole song heart breaks four tattoo good right beat stay tucson baby day left pretty tell backseat years calls hotel forget 182 death sheets fine shoulder back see older closer corner city bar pull boulder car hey blink afford know okay rover roommate lookin' meet bite broke friends look play met insane drink nice can't gettin' mattress ever much that's issue never
16,Say You Won't Let Go,Say You Won't Let Go,James Arthur,09.09.2016,2016,DEE861600586,DE,462,"71,5",2830962669,233504,128647419,82.0,2083619058.0,11898213.0,1750319.0,96711415.0,792720612.0,1446089800.0,218.0,122867.0,68.0,114.0,616176.0,52.0,662857879.0,312119.0,,5869.0,0,take head smiled bring hope stars told wake even love come grown song knew feel we've beautiful weight swear bed till let woah right stay needed give knows said wanna showed day coffee stone i'll way wave somehow goodbye old better played forget scared promise 'cause thank death dance lungs already danced shoulder kids every back live rest older closer always hair wrote drank looked get held know minute breakfast cold vows enough cool night letting like everybody sober dark made oh gold ghosts kiss pulled look darlin' met away think far lucky chest school gonna go throwin' ever much ya part grey lit say make though worth dear asked we're never loved
17,Watermelon Sugar,Watermelon Sugar,Harry Styles,17.11.2019,2019,USSM11912587,US,243,"99,7",2708151499,298135,159003869,82.0,872052223.0,11269126.0,1375118.0,301076974.0,2738127473.0,2170262684.0,554.0,647363.0,914.0,557.0,4404589.0,101.0,133633509.0,253839.0,,9612968.0,0,like sounds ooh belly loud wanna summer breathe baby evenin' june washed without strawberries away watermelon berries song getting feelin' eh go sugar high know end ever want tastes thinking warm could wonderful yeah taste
18,Don't Start Now,Don't Start Now,Dua Lipa,31.10.2019,2019,GBAHT1901121,GB,149,"124,6",2607121959,27023,143953432,78.0,1201600884.0,10239198.0,4725570.0,414013363.0,3535661993.0,2374637534.0,581.0,999941.0,954.0,632.0,4254903.0,118.0,313923242.0,99949.0,,13421701.0,0,took show stop wanna maybe oh tried left way walk ended time moved eighty believe scary look away 'bout one come change somebody word better start goodbye caring heartbreak survive guy dancing know anything thinking side already crazy though could hurt good see full
19,Something Just Like This,Something Just Like This,The Chainsmokers,22.02.2017,2017,USQX91700278,US,273,94,2596644721,278237,128709855,82.0,2822804239.0,15242846.0,350848.0,80813727.0,631258708.0,277516825.0,315.0,409911.0,,420.0,1634441.0,108.0,588568899.0,197928.0,,16040973.0,0,told fists lifts testaments somebody unrolls turn man's person clearly want superhero bliss achilles said batman hercules wanna fits myths kind miss control list old suit spider d'you moon see something i've superman doo reading like books risk lookin' oh gold legends kiss eclipse upon fairytale go much superhuman gifts
20,Lucid Dreams,Lucid Dreams,Juice WRLD,04.05.2018,2018,USUG11800685,US,150,"123,9",2548389305,339306,75858140,78.0,987143411.0,9384427.0,1900813.0,44442433.0,338071383.0,274498079.0,153.0,69562.0,132.0,54.0,44264.0,36.0,259400789.0,552552.0,257459352.0,9308937.0,1,take head fake point landing easier plastic thing one love dreams knew heart feel everything bed move ache want gave let mistakes full falling said ring prescriptions wind left i'll done outta listened better instead forget heartbreak inside replace grave back see leave blow thoughts another last cannot still change past face enviyon tangled lucid wedding shadows know break hate shit okay listenin' made drastic oh evil prettiest ways friends mix must room can't uh dead end thought thinking watch make found girls
21,Take Me to Church,Take Me To Church,Hozier,16.09.2013,2013,IEACJ1300031,IE,1293,"41,4",2544489950,238611,69693570,78.0,1690342490.0,16798785.0,107362.0,35030283.0,261203495.0,319369976.0,172.0,282.0,148.0,116.0,2848734.0,24.0,,,277623.0,29306436.0,0,take shrine meaty amen somethin' heavens main begins speak love soil looks sacrifice we've knife clean lot lies keep humour let tasty church good goddess scene bedroom give knows sunday's i'll tell week sweeter plenty hungry poison sea deathless shiny high heard well death kings times sunlight fine whole tells every madness sent disapproval work sin everybody's last heaven giggle got offer offers sins pagan sooner get command sad funeral fresh faithful worship stable gentle god mouthpiece innocence ritual human like true worshipped horse lookin' oh earthly masters absolutes drain sharpen course demands born starvin' sick gettin' lover's ever that's life side dog say alone bleak
22,Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,01.01.2013,2013,AULI01385760,AU,1223,"42,8",2541833602,36915,165607442,80.0,533440453.0,4627060.0,856131.0,383809767.0,3108986398.0,2161449.0,231.0,132498.0,171.0,91.0,540337.0,70.0,,,68063923.0,16496792.0,0,dream pfeiffer there's thing love come wrong livin' song swear guy new riptide assistant yeah stay wanna sing left way pretty conversations runnin' scared throat dentists magician's taken 'cause unstuck decides york words city seen green job man gotta got screen know lump shelf michelle closest lady cowboy's like ooh singin' quit dark oh starting friends away think turnin' movie hand can't gonna highest destined ever side girls heads
23,God's Plan,Diplomatic Immunity,Drake,20.01.2018,2018,USCM51800004,US,278,"92,9",2529948475,313741,79266167,77.0,2040639375.0,19912225.0,640874.0,70576617.0,634177218.0,254153311.0,226.0,14465.0,442.0,103.0,898454.0,76.0,527043451.0,707727.0,,9512236.0,1,bring hope o2 calm even without sure one love party yes turn start feel dub gon' fifty bed tryna lot since keep good yeah trouble wanna crashers sorry tell story eighty miss o3 'nessed struggle watchin' they'll outlive back see bad broskies i've southside finessed pull close still north got movin' cuddle there'd wishin' tatted hold know things god's shit sometimes different mama like oli ayy scarlett wait plan die yep lovin' peaceful 40 met brothers can't never hard someone go weston road g 6 eat might side dog say make 'magine partly
24,Photograph,x (Wembley Edition),Ed Sheeran,01.01.2013,2013,GBAHS1400094,GB,980,"48,8",2525355904,208671,121163411,77.0,1884843329.0,9916244.0,1459274.0,502385405.0,4406781129.0,1706776803.0,249.0,89818.0,80.0,234.0,603824.0,54.0,450907868.0,19021.0,35594470.0,17163765.0,0,memories take sixteen bleed alive gets easier deep lamppost makes thing love come mend feel kissed swear piece eyes closin' till soul keep let ripped street time's baby next whisper mm necklace inside well hurt every back hearin' home closer words still hearts got jeans sixth get forever hold know sometimes okay phone heal photograph pocket heartbeat frozen wait die made oh meet within lovin' remember away broken us hard go ever that's ya holdin' fit alone pages never
25,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,29.03.2019,2019,USUM71900764,US,164,"117,7",2516804300,296739,113315017,76.0,1779243626.0,26239833.0,3774645.0,177247662.0,1409756969.0,2066888119.0,432.0,353076.0,1024.0,258.0,3123258.0,174.0,229833113.0,534958.0,,18994040.0,0,take cynical mean maybe type even toes shirt sees one song seduce guy girlfriend reads guess mommy want soul red let rough tight good knows said sing i'll pretty control tippy criminal nose pity scared duh 'cause thank see bad really men always likes mad get sad bein' know bruises enough white mama like dad creepin' wanting please she'll role play think wearing chest puffed lyrics knees can't cologne around bloody animal tough glad might along make alone say sleepin'
26,Bohemian Rhapsody,Absolute Greatest,Queen,16.11.2009,2009,GBCEE0900148,GB,4147,"20,8",2486908570,264,18456,,2036268766.0,14592615.0,,,,1516220978.0,,,,,,,,,,,0,head thunderbolt late low skies mean monstrosity truth spine open spit love come silhouetto devil eyes matter aching bismillah let he's yeah tomorrow beelzebub right fantasy galileo aside trigger wanna baby stone wind way outta anyone mia eye goodbye easy high little boy caught blows lightning back see mamma body's leave put i've nobody real magnifico cry really escape man gotta got i'd sympathy face thrown ah frightening killed gun figaro get spare need reality landslide sometimes fandango mama scaramouche family everybody ooh loves die nothing matters begun oh pulled time sends look away shivers think poor gone born wish can't go dead life behind carry make never
27,Circles,Circles,Post Malone,30.08.2019,2019,USUM71915699,US,170,116,2481391466,332437,124491320,80.0,1116323669.0,8490012.0,83111.0,26892604.0,273522601.0,841624305.0,355.0,1015731.0,413.0,311.0,1603280.0,69.0,448494186.0,212174.0,,13634519.0,0,take 'til dare hear maybe even ain't waiting love knew understand turn doomed guy going feed lose let said special went i'll tell believe feeling 'cause upside every bad something proud still got change mind get know cold oh tried time away echoes can't seasons gonna around go circles thought sex make though we're run blame running flame
28,Counting Stars,Native (Standard),OneRepublic,01.01.2013,2013,USUM71301306,US,892,"51,1",2466006842,343135,114346295,81.0,304524339.0,2956756.0,382991.0,125290160.0,1245061983.0,149045425.0,198.0,237316.0,170.0,138.0,1401001.0,40.0,1394055006.0,1085579.0,,11891.0,0,take seek hope stars told alive swinging lately dreamin' makes thing sleep love wrong sold burn turn doin' heart feel everything money four dollars yeah right learned said wanna baby flashing kills countin' old across ye prayin' swing fly we'll world every see something find signs i've losin' letter river bold face word young things sink could lie like oh shall think line hard drowns life watch make vine we're lessons
29,Shallow,Shallow,Lady Gaga,27.09.2018,2018,USUM71813192,US,204,"106,9",2447973078,221822,90174192,78.0,2732311956.0,15274815.0,52698.0,11103476.0,168789459.0,2310840501.0,261.0,228874.0,135.0,158.0,1551217.0,95.0,387105091.0,65176.0,1196386.0,153863.0,0,low somethin' ain't deep keepin' tryna modern girl good la ha longin' falling dive longing hardcore tired i'll fill tell happy surface fear times boy hurt world bad something find else change searchin' crash fallin' ah void need hallow oh meet far ground us can't hard sha end shallow watch we're never
30,Another Love,Songs from Another Love,Tom Odell,01.01.2012,2012,GBARL1300107,GB,1842,"33,9",2444335468,380675,168483196,83.0,996981745.0,9104648.0,452786.0,77257465.0,714451407.0,858018753.0,137.0,36017.0,8.0,195.0,16139369.0,30.0,,,,,1,take voice used somewhere that'd win one love somebody song heart feel share fall rude spring lose wanna tired sing hand's i'll flower pretty string learn nights times hurts brought words alright fight cry daffodils another always last sang i'd 'em know need cold fucking like many oh kiss use broken care thinking make tears
31,Love Yourself,Love Yourself,Justin Bieber,09.11.2015,2015,USUM71516761,US,530,"66,8",2423583406,22155,85152861,78.0,2154325842.0,11828484.0,412296.0,54794151.0,546197873.0,1521238263.0,287.0,216976.0,210.0,114.0,644719.0,68.0,579271026.0,399649.0,,16182850.0,0,low told maybe somethin' vulnerable ain't hit problem love wrong song heart feel clubs going want admit let girl write wanna hated sake baby i'll way anyone better forget name everyone 'cause well rained times caught every back see i've opinion felt parade fool cryin' job still likes movin' get what's hold know break fell using phone mama like came sleeping nothin' made oh tried broke time friends look think goodness' small go much care holdin' thinking make never walls
32,Can't Hold Us,The Heist,Macklemore & Ryan Lewis,09.10.2012,2012,GMM881200021,GM,143,"38,9",2397109372,287524,83050639,74.0,1554258622.0,11301317.0,202552.0,75080554.0,715739402.0,180177990.0,23.0,,185.0,29.0,149377.0,,,,,29296074.0,0,trust deuces cat 'til nah stop hahaha tang fronts hands stick mackle pass moonwalking broadway hit somewhere dreams party throne come pack chasing grown song record speed everything style money fall bed craft 808 since n four keep let people girl gave good yeah woah right barker beat pimp ha caesar'll wu give stay walkin' said wanna pounds sing humility country fourteen way posse's nope raise tell week outta copy music checking gain cautious better suit goodbye instead across bit learn shine cross shop ceiling raw little marching thank shed damn return game comes we'll kick back world live great see bad sweater put alright fight nobody raised city giving strut rome p bob really torch let's skin got grew hey track stage believer thrift bones dude 'em get spread hold na e halfway fat huh shit town okay heartbeat labels white tonight mack goes night crushin' like ooh failure light came nothin' yet grateful wanting oh gold watching shark time plinko rocky gone bussin' us getting cosby eating can't internet uh around ray hard go y'all ever humble that's life behind validation make looking hustlin' never moment
33,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,16.09.2016,2016,USSM11607555,US,549,"65,5",2396737761,381756,90317118,82.0,1334796210.0,12947143.0,1025273.0,181634476.0,1545294272.0,202525787.0,210.0,38443.0,51.0,82.0,2173347.0,30.0,350431346.0,278196.0,,8025643.0,1,take low stop wildness 1 misinformed text 3 love party pop come wrong cute ridin' burn saucin' key heart moments feel everything fall gon' rider peelin' want goosebumps rebuild onyx buy yeah ease bible right depart took stay coupe wanna stack way lil' pedestal plenty dumb relivin' place feelings floor fuck 7:30 squad numb high touch mariah 'cause 8 fine game every back press 7 top put peter worried shot diamonds bitch city snapchat pullin' relate green pull brain cannot comments shoot mind justify get forever straight 2 picked know spare need things flyin' star piper beside could god brr mama night like parts ooh light ayy debating die pepper horse doheny oh sky sippin' best time shady residual 'bout ride can't line molly throw uh ginnies heimlich hard gonna around y'all go dearest together buildin' ya pussy might side lit war make pick never
34,Thunder,Thunder,Imagine Dragons,27.04.2017,2017,USUM71704167,US,203,"106,9",2384768901,244951,88329475,79.0,2707166590.0,16780231.0,1839173.0,79131934.0,906537912.0,222980374.0,225.0,273249.0,509.0,226.0,1148532.0,43.0,688060560.0,1104391.0,,13844050.0,0,take masses basic fuse dreams yes thunder feel laughin' mold let nosebleeds dreaming give wanna backseat sir number quick easy bigger lightning kids leave big classes always smilin' stage gun young follower things box star th seat foyer thun woo riding 'bout think loose uptight schemin' life fit behind say clappin' never
35,All of Me,Love In The Future (South Africa Tour Edition),John Legend,01.01.2012,2012,USSM11303954,US,487,"69,8",2382407025,259202,144805002,80.0,3064193777.0,17820289.0,536497.0,59268693.0,643209321.0,1769031393.0,295.0,22522.0,341.0,229.0,2030488.0,107.0,1043817740.0,1278265.0,,28058207.0,0,muse head smart stop even without hit love beating beautiful worst downfall goin' dizzy blues lose breathing give crying i'll edges tell would 'cause showing times fine world every water alright table winning risking drawing hearts got beginning cards imperfections spinning mind mystery what's kicking know mood ringing crazy singing distraction many magical loves oh curves kidding pin perfect ride rhythm can't hard around head's end mouth though we're
36,Wake Me Up,TRUE,Avicii,01.01.2013,2013,SEUM71301326,SE,436,"73,7",2325017580,347004,112575684,81.0,3214634614.0,17924466.0,349966.0,33433988.0,360378218.0,351953763.0,302.0,358498.0,230.0,213.0,1715157.0,87.0,311299334.0,837891.0,,28653448.0,0,carryin' findin' hope dream lost wake hands beatin' pass guided open journey love understand heart start weight eyes wiser stay way tell knowÃ¯Â»Â¿ gameÃ¯Â»Â¿ everyone well life's fine afraid caught world older travel close chance feelin' get forever young know could two made prize tried time darkness wish plans can't end that's life say
37,Stressed Out,Stressed Out,Twenty One Pilots,28.04.2015,2015,USAT21500597,US,482,"70,1",2313532702,333612,85684817,79.0,3241796669.0,22573742.0,440911.0,82148305.0,664725202.0,508271083.0,10.0,257332.0,288.0,93.0,590706.0,50.0,,,,,0,take voice used dream told wake they're probably homes candle one sleep come order turn try money student identify laughin' certain new people good yeah sayin' smell give loans outer nose treehouse would old names better pretend comin' homegrown 'cause heard fly every back days older words sounds one's clothes momma shrink fears really blurryface sang stone's remind chords able i'd stressed face get it'd latter young need rocket name's sometimes could different sell space nothing oh brother roam time we'd play away think far insecure mattered us wish throw ever care rhyme build ship make found creek never we're
38,The Hills,The Hills,The Weeknd,27.05.2015,2015,USUG11500737,US,388,"77,5",2306740926,33331,91689799,80.0,2404495013.0,15819333.0,1064662.0,140355034.0,1174129136.0,297672687.0,178.0,9129.0,131.0,67.0,891934.0,30.0,665990282.0,568806.0,22542449.0,17199384.0,1,trust call low gated even love hide doin' feel gon' eyes tryna lies decaf want keep let girl tempo yeah fucked i'ma promo business said drivin' baby konjo i'll simple judge photos better saw comin' touch 'cause live sent home find half real babe man always send mine i'd past feelin' ewedihalehu get bitches know seem 'fore yene motherfuckers info like two fikir oh zone friend time residential friends house look hills started relapse can't ever road that's life side found drugs rehab five moment
40,Demons,Continued Silence   EP,Imagine Dragons,01.01.2012,2012,USUM71201071,US,847,"52,8",2270796677,26364,71470111,80.0,1738647396.0,12375429.0,261866.0,25465591.0,296361891.0,273191644.0,70.0,144439.0,465.0,88.0,2680196.0,29.0,1087793804.0,553855.0,26345651.0,18161724.0,0,call greed beast truth there's dreams come blood's curtain's hide feel masquerade worst eyes stale matter soul let nowhere ones show wanna calling demons sinners crawl hail lights shine inside mess grave hell see days fail shelter escape last close still fate bright cards get save need cold woven dug fold light fade made dark gold kingdom look heat breed can't bound unless go saints say make though run
41,Die For You,Starboy,The Weeknd,25.11.2016,2016,USUG11601011,US,1565,37,2265551950,185803,50288436,74.0,117456314.0,1132990.0,166776.0,120865394.0,879722331.0,,131.0,479013.0,128.0,44.0,3238269.0,35.0,166351423.0,84689.0,25327834.0,,0,take findin' distance it'll even apart truth ain't makes one love manipulate feel try gon' eyes goin' want keep let girl yeah blamin' right sayin' baby i'll tell miss would better scared 'cause every see communicate find pain real cry babe thoughts pull change kill reason mind feelin' forever afford hold na know happens hate lie workin' tonight 'specially night thinkin' die oh walk time ways lonely perfect away think articulate us can't uh hard that's say alone though worth we're never blame
42,7 rings,7 rings,Ariana Grande,18.01.2019,2019,USUM71900110,US,274,"93,9",2262490403,179865,89518199,77.0,1903198886.0,22206277.0,3040090.0,282688098.0,2620954252.0,2185559044.0,220.0,176589.0,945.0,87.0,1044537.0,76.0,301142482.0,409686.0,,7983512.0,1,loot racks nah stop atm mean ain't one closet thanks wrong set bottles turn checks settin' money gon' store want new red buy write yeah trouble tiffany's wrist card business said deposits ring sing baby way gee addiction tied calls loop number smile watchin' bag tone gloss shine happiness rather tattoos brag retail beamin' see budget back bad poppin' put big strings matching diamonds bitch seen stacked problems skin hair black got i'd shoot gimme favorite 'em mind get bitches sad ass therapy it'd flossy know receipts things gleamin' shit breakfast enough bought juice neck phone price pay like jet machines respect nothing yep lookin' oh solve mrs numbers friends look think spoil must wearing riches getting whoever booth can't woulda go lashes savage bubbles thought that's bottoms net say make girls crib never six
43,Let Her Go,Let Her Go,Passenger,27.07.2012,2012,GBMQN1200012,GB,484,"70,1",2252713547,84884,25149126,69.0,3967431755.0,18261574.0,822.0,19565297.0,198665893.0,1802593895.0,153.0,12838.0,,12.0,16047.0,14.0,992473803.0,965474.0,57076563.0,,0,low dream maybe deep one love dreams come understand heart everything fall eyes keep let woah burning dived day dies miss feeling old mm ceiling snow high touch 'cause well fast slow asleep comes see home glass hoping last close know need hate missing goes surely light dark oh staring starts empty sun uh go much road make bottom never loved
